"Statistic Label","Quarter","Sex","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2017Q1","Both sexes","Outbound","Thousand","1607"
"Number of Trips by Irish Residents","2017Q1","Male","Domestic","Thousand","896"
"Number of Trips by Irish Residents","2017Q1","Male","Outbound","Thousand","824"
"Number of Trips by Irish Residents","2017Q1","Female","Domestic","Thousand","1013"
"Number of Trips by Irish Residents","2017Q1","Female","Outbound","Thousand","784"
"Number of Trips by Irish Residents","2017Q2","Both sexes","Domestic","Thousand","2363"
"Number of Trips by Irish Residents","2017Q2","Both sexes","Outbound","Thousand","2162"
"Number of Trips by Irish Residents","2017Q2","Male","Domestic","Thousand","1097"
"Number of Trips by Irish Residents","2017Q2","Male","Outbound","Thousand","1054"
"Number of Trips by Irish Residents","2017Q2","Female","Domestic","Thousand","1266"
"Number of Trips by Irish Residents","2017Q2","Female","Outbound","Thousand","1108"
"Number of Trips by Irish Residents","2017Q3","Both sexes","Domestic","Thousand","3033"
"Number of Trips by Irish Residents","2017Q3","Both sexes","Outbound","Thousand","2572"
"Number of Trips by Irish Residents","2017Q3","Male","Domestic","Thousand","1391"
"Number of Trips by Irish Residents","2017Q3","Male","Outbound","Thousand","1268"
"Number of Trips by Irish Residents","2017Q3","Female","Domestic","Thousand","1643"
"Number of Trips by Irish Residents","2017Q3","Female","Outbound","Thousand","1304"
"Number of Trips by Irish Residents","2017Q4","Both sexes","Domestic","Thousand","2322"
"Number of Trips by Irish Residents","2017Q4","Both sexes","Outbound","Thousand","1830"
"Number of Trips by Irish Residents","2017Q4","Male","Domestic","Thousand","1078"
"Number of Trips by Irish Residents","2017Q4","Male","Outbound","Thousand","873"
"Number of Trips by Irish Residents","2017Q4","Female","Domestic","Thousand","1244"
"Number of Trips by Irish Residents","2017Q4","Female","Outbound","Thousand","957"
"Number of Trips by Irish Residents","2018Q1","Both sexes","Domestic","Thousand","2118"
"Number of Trips by Irish Residents","2018Q1","Both sexes","Outbound","Thousand","1654"
"Number of Trips by Irish Residents","2018Q1","Male","Domestic","Thousand","910"
"Number of Trips by Irish Residents","2018Q1","Male","Outbound","Thousand","850"
"Number of Trips by Irish Residents","2018Q1","Female","Domestic","Thousand","1207"
"Number of Trips by Irish Residents","2018Q1","Female","Outbound","Thousand","804"
"Number of Trips by Irish Residents","2018Q2","Both sexes","Domestic","Thousand","2553"
"Number of Trips by Irish Residents","2018Q2","Both sexes","Outbound","Thousand","2283"
"Number of Trips by Irish Residents","2018Q2","Male","Domestic","Thousand","1173"
"Number of Trips by Irish Residents","2018Q2","Male","Outbound","Thousand","1115"
"Number of Trips by Irish Residents","2018Q2","Female","Domestic","Thousand","1380"
"Number of Trips by Irish Residents","2018Q2","Female","Outbound","Thousand","1168"
"Number of Trips by Irish Residents","2018Q3","Both sexes","Domestic","Thousand","3807"
"Number of Trips by Irish Residents","2018Q3","Both sexes","Outbound","Thousand","2691"
"Number of Trips by Irish Residents","2018Q3","Male","Domestic","Thousand","1765"
"Number of Trips by Irish Residents","2018Q3","Male","Outbound","Thousand","1297"
"Number of Trips by Irish Residents","2018Q3","Female","Domestic","Thousand","2042"
"Number of Trips by Irish Residents","2018Q3","Female","Outbound","Thousand","1394"
"Number of Trips by Irish Residents","2018Q4","Both sexes","Domestic","Thousand","2441"
"Number of Trips by Irish Residents","2018Q4","Both sexes","Outbound","Thousand","2015"
"Number of Trips by Irish Residents","2018Q4","Male","Domestic","Thousand","1090"
"Number of Trips by Irish Residents","2018Q4","Male","Outbound","Thousand","1027"
"Number of Trips by Irish Residents","2018Q4","Female","Domestic","Thousand","1351"
"Number of Trips by Irish Residents","2018Q4","Female","Outbound","Thousand","988"
"Number of Trips by Irish Residents","2019Q1","Both sexes","Domestic","Thousand","2223"
"Number of Trips by Irish Residents","2019Q1","Both sexes","Outbound","Thousand","1811"
"Number of Trips by Irish Residents","2019Q1","Male","Domestic","Thousand","1005"
"Number of Trips by Irish Residents","2019Q1","Male","Outbound","Thousand","929"
"Number of Trips by Irish Residents","2019Q1","Female","Domestic","Thousand","1218"
"Number of Trips by Irish Residents","2019Q1","Female","Outbound","Thousand","882"
"Number of Trips by Irish Residents","2019Q2","Both sexes","Domestic","Thousand","2858"
"Number of Trips by Irish Residents","2019Q2","Both sexes","Outbound","Thousand","2555"
"Number of Trips by Irish Residents","2019Q2","Male","Domestic","Thousand","1349"
"Number of Trips by Irish Residents","2019Q2","Male","Outbound","Thousand","1233"
"Number of Trips by Irish Residents","2019Q2","Female","Domestic","Thousand","1509"
"Number of Trips by Irish Residents","2019Q2","Female","Outbound","Thousand","1323"
"Number of Trips by Irish Residents","2019Q3","Both sexes","Domestic","Thousand","3898"
"Number of Trips by Irish Residents","2019Q3","Both sexes","Outbound","Thousand","2905"
"Number of Trips by Irish Residents","2019Q3","Male","Domestic","Thousand","1777"
"Number of Trips by Irish Residents","2019Q3","Male","Outbound","Thousand","1458"
"Number of Trips by Irish Residents","2019Q3","Female","Domestic","Thousand","2122"
"Number of Trips by Irish Residents","2019Q3","Female","Outbound","Thousand","1447"
"Number of Trips by Irish Residents","2019Q4","Both sexes","Domestic","Thousand","2641"
"Number of Trips by Irish Residents","2019Q4","Both sexes","Outbound","Thousand","2079"
"Number of Trips by Irish Residents","2019Q4","Male","Domestic","Thousand","1237"
"Number of Trips by Irish Residents","2019Q4","Male","Outbound","Thousand","1046"
"Number of Trips by Irish Residents","2019Q4","Female","Domestic","Thousand","1404"
"Number of Trips by Irish Residents","2019Q4","Female","Outbound","Thousand","1033"
"Number of Trips by Irish Residents","2020Q1","Both sexes","Domestic","Thousand","2160"
"Number of Trips by Irish Residents","2020Q1","Both sexes","Outbound","Thousand","1575"
"Number of Trips by Irish Residents","2020Q1","Male","Domestic","Thousand","981"
"Number of Trips by Irish Residents","2020Q1","Male","Outbound","Thousand","809"
"Number of Trips by Irish Residents","2020Q1","Female","Domestic","Thousand","1179"
"Number of Trips by Irish Residents","2020Q1","Female","Outbound","Thousand","765"
"Number of Trips by Irish Residents","2020Q2","Both sexes","Domestic","Thousand","237"
"Number of Trips by Irish Residents","2020Q2","Both sexes","Outbound","Thousand","60"
"Number of Trips by Irish Residents","2020Q2","Male","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Male","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Female","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Female","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Both sexes","Domestic","Thousand","4188"
"Number of Trips by Irish Residents","2020Q3","Both sexes","Outbound","Thousand","530"
"Number of Trips by Irish Residents","2020Q3","Male","Domestic","Thousand","2036"
"Number of Trips by Irish Residents","2020Q3","Male","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Female","Domestic","Thousand","2152"
"Number of Trips by Irish Residents","2020Q3","Female","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Both sexes","Domestic","Thousand","1136"
"Number of Trips by Irish Residents","2020Q4","Both sexes","Outbound","Thousand","200"
"Number of Trips by Irish Residents","2020Q4","Male","Domestic","Thousand","525"
"Number of Trips by Irish Residents","2020Q4","Male","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Female","Domestic","Thousand","612"
"Number of Trips by Irish Residents","2020Q4","Female","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Both sexes","Domestic","Thousand","278"
"Number of Trips by Irish Residents","2021Q1","Both sexes","Outbound","Thousand","108"
"Number of Trips by Irish Residents","2021Q1","Male","Domestic","Thousand","157"
"Number of Trips by Irish Residents","2021Q1","Male","Outbound","Thousand","47"
"Number of Trips by Irish Residents","2021Q1","Female","Domestic","Thousand","121"
"Number of Trips by Irish Residents","2021Q1","Female","Outbound","Thousand","61"
"Number of Trips by Irish Residents","2021Q2","Both sexes","Domestic","Thousand","990"
"Number of Trips by Irish Residents","2021Q2","Both sexes","Outbound","Thousand","168"
"Number of Trips by Irish Residents","2021Q2","Male","Domestic","Thousand","472"
"Number of Trips by Irish Residents","2021Q2","Male","Outbound","Thousand","75"
"Number of Trips by Irish Residents","2021Q2","Female","Domestic","Thousand","518"
"Number of Trips by Irish Residents","2021Q2","Female","Outbound","Thousand","93"
"Number of Trips by Irish Residents","2021Q3","Both sexes","Domestic","Thousand","2808"
"Number of Trips by Irish Residents","2021Q3","Both sexes","Outbound","Thousand","907"
"Number of Trips by Irish Residents","2021Q3","Male","Domestic","Thousand","1294"
"Number of Trips by Irish Residents","2021Q3","Male","Outbound","Thousand","468"
"Number of Trips by Irish Residents","2021Q3","Female","Domestic","Thousand","1514"
"Number of Trips by Irish Residents","2021Q3","Female","Outbound","Thousand","439"
"Number of Trips by Irish Residents","2021Q4","Both sexes","Domestic","Thousand","1587"
"Number of Trips by Irish Residents","2021Q4","Both sexes","Outbound","Thousand","1094"
"Number of Trips by Irish Residents","2021Q4","Male","Domestic","Thousand","730"
"Number of Trips by Irish Residents","2021Q4","Male","Outbound","Thousand","520"
"Number of Trips by Irish Residents","2021Q4","Female","Domestic","Thousand","856"
"Number of Trips by Irish Residents","2021Q4","Female","Outbound","Thousand","574"
"Number of Trips by Irish Residents","2022Q1","Both sexes","Domestic","Thousand","2308"
"Number of Trips by Irish Residents","2022Q1","Both sexes","Outbound","Thousand","1063"
"Number of Trips by Irish Residents","2022Q1","Male","Domestic","Thousand","1080"
"Number of Trips by Irish Residents","2022Q1","Male","Outbound","Thousand","572"
"Number of Trips by Irish Residents","2022Q1","Female","Domestic","Thousand","1228"
"Number of Trips by Irish Residents","2022Q1","Female","Outbound","Thousand","492"
"Number of Trips by Irish Residents","2022Q2","Both sexes","Domestic","Thousand","3397"
"Number of Trips by Irish Residents","2022Q2","Both sexes","Outbound","Thousand","2175"
"Number of Trips by Irish Residents","2022Q2","Male","Domestic","Thousand","1486"
"Number of Trips by Irish Residents","2022Q2","Male","Outbound","Thousand","1041"
"Number of Trips by Irish Residents","2022Q2","Female","Domestic","Thousand","1910"
"Number of Trips by Irish Residents","2022Q2","Female","Outbound","Thousand","1134"
"Number of Trips by Irish Residents","2022Q3","Both sexes","Domestic","Thousand","4506"
"Number of Trips by Irish Residents","2022Q3","Both sexes","Outbound","Thousand","3020"
"Number of Trips by Irish Residents","2022Q3","Male","Domestic","Thousand","2097"
"Number of Trips by Irish Residents","2022Q3","Male","Outbound","Thousand","1524"
"Number of Trips by Irish Residents","2022Q3","Female","Domestic","Thousand","2409"
"Number of Trips by Irish Residents","2022Q3","Female","Outbound","Thousand","1496"
"Number of Trips by Irish Residents","2022Q4","Both sexes","Domestic","Thousand","3064"
"Number of Trips by Irish Residents","2022Q4","Both sexes","Outbound","Thousand","2287"
"Number of Trips by Irish Residents","2022Q4","Male","Domestic","Thousand","1344"
"Number of Trips by Irish Residents","2022Q4","Male","Outbound","Thousand","1095"
"Number of Trips by Irish Residents","2022Q4","Female","Domestic","Thousand","1720"
"Number of Trips by Irish Residents","2022Q4","Female","Outbound","Thousand","1192"
"Number of Trips by Irish Residents","2023Q1","Both sexes","Domestic","Thousand","2571"
"Number of Trips by Irish Residents","2023Q1","Both sexes","Outbound","Thousand","2082"
"Number of Trips by Irish Residents","2023Q1","Male","Domestic","Thousand","1144"
"Number of Trips by Irish Residents","2023Q1","Male","Outbound","Thousand","1047"
"Number of Trips by Irish Residents","2023Q1","Female","Domestic","Thousand","1427"
"Number of Trips by Irish Residents","2023Q1","Female","Outbound","Thousand","1035"
"Number of Trips by Irish Residents","2023Q2","Both sexes","Domestic","Thousand","3826"
"Number of Trips by Irish Residents","2023Q2","Both sexes","Outbound","Thousand","3699"
"Number of Trips by Irish Residents","2023Q2","Male","Domestic","Thousand","1822"
"Number of Trips by Irish Residents","2023Q2","Male","Outbound","Thousand","1787"
"Number of Trips by Irish Residents","2023Q2","Female","Domestic","Thousand","2003"
"Number of Trips by Irish Residents","2023Q2","Female","Outbound","Thousand","1912"
"Number of Trips by Irish Residents","2023Q3","Both sexes","Domestic","Thousand","4518"
"Number of Trips by Irish Residents","2023Q3","Both sexes","Outbound","Thousand","3950"
"Number of Trips by Irish Residents","2023Q3","Male","Domestic","Thousand","2116"
"Number of Trips by Irish Residents","2023Q3","Male","Outbound","Thousand","1964"
"Number of Trips by Irish Residents","2023Q3","Female","Domestic","Thousand","2402"
"Number of Trips by Irish Residents","2023Q3","Female","Outbound","Thousand","1985"
"Number of Nights by Irish Residents","2000Q1","Both sexes","Domestic","Thousand","3578"
"Number of Nights by Irish Residents","2000Q1","Both sexes","Outbound","Thousand","5518"
"Number of Nights by Irish Residents","2000Q1","Male","Domestic","Thousand","1728"
"Number of Nights by Irish Residents","2000Q1","Male","Outbound","Thousand","2563"
"Number of Nights by Irish Residents","2000Q1","Female","Domestic","Thousand","1850"
"Number of Nights by Irish Residents","2000Q1","Female","Outbound","Thousand","2955"
"Number of Nights by Irish Residents","2000Q2","Both sexes","Domestic","Thousand","4340"
"Number of Nights by Irish Residents","2000Q2","Both sexes","Outbound","Thousand","10537"
"Number of Nights by Irish Residents","2000Q2","Male","Domestic","Thousand","1873"
"Number of Nights by Irish Residents","2000Q2","Male","Outbound","Thousand","4696"
"Number of Nights by Irish Residents","2000Q2","Female","Domestic","Thousand","2467"
"Number of Nights by Irish Residents","2000Q2","Female","Outbound","Thousand","5842"
"Number of Nights by Irish Residents","2000Q3","Both sexes","Domestic","Thousand","8957"
"Number of Nights by Irish Residents","2000Q3","Both sexes","Outbound","Thousand","13411"
"Number of Nights by Irish Residents","2000Q3","Male","Domestic","Thousand","4294"
"Number of Nights by Irish Residents","2000Q3","Male","Outbound","Thousand","6325"
"Number of Nights by Irish Residents","2000Q3","Female","Domestic","Thousand","4664"
"Number of Nights by Irish Residents","2000Q3","Female","Outbound","Thousand","7086"
"Number of Nights by Irish Residents","2000Q4","Both sexes","Domestic","Thousand","3828"
"Number of Nights by Irish Residents","2000Q4","Both sexes","Outbound","Thousand","6078"
"Number of Nights by Irish Residents","2000Q4","Male","Domestic","Thousand","1872"
"Number of Nights by Irish Residents","2000Q4","Male","Outbound","Thousand","3083"
"Number of Nights by Irish Residents","2000Q4","Female","Domestic","Thousand","1955"
"Number of Nights by Irish Residents","2000Q4","Female","Outbound","Thousand","2995"
"Number of Nights by Irish Residents","2001Q1","Both sexes","Domestic","Thousand","3341"
"Number of Nights by Irish Residents","2001Q1","Both sexes","Outbound","Thousand","5523"
"Number of Nights by Irish Residents","2001Q1","Male","Domestic","Thousand","1629"
"Number of Nights by Irish Residents","2001Q1","Male","Outbound","Thousand","2738"
"Number of Nights by Irish Residents","2001Q1","Female","Domestic","Thousand","1711"
"Number of Nights by Irish Residents","2001Q1","Female","Outbound","Thousand","2785"
"Number of Nights by Irish Residents","2001Q2","Both sexes","Domestic","Thousand","4663"
"Number of Nights by Irish Residents","2001Q2","Both sexes","Outbound","Thousand","11221"
"Number of Nights by Irish Residents","2001Q2","Male","Domestic","Thousand","2146"
"Number of Nights by Irish Residents","2001Q2","Male","Outbound","Thousand","5059"
"Number of Nights by Irish Residents","2001Q2","Female","Domestic","Thousand","2517"
"Number of Nights by Irish Residents","2001Q2","Female","Outbound","Thousand","6162"
"Number of Nights by Irish Residents","2001Q3","Both sexes","Domestic","Thousand","10899"
"Number of Nights by Irish Residents","2001Q3","Both sexes","Outbound","Thousand","14821"
"Number of Nights by Irish Residents","2001Q3","Male","Domestic","Thousand","5236"
"Number of Nights by Irish Residents","2001Q3","Male","Outbound","Thousand","6974"
"Number of Nights by Irish Residents","2001Q3","Female","Domestic","Thousand","5663"
"Number of Nights by Irish Residents","2001Q3","Female","Outbound","Thousand","7846"
"Number of Nights by Irish Residents","2001Q4","Both sexes","Domestic","Thousand","4305"
"Number of Nights by Irish Residents","2001Q4","Both sexes","Outbound","Thousand","6388"
"Number of Nights by Irish Residents","2001Q4","Male","Domestic","Thousand","2088"
"Number of Nights by Irish Residents","2001Q4","Male","Outbound","Thousand","3203"
"Number of Nights by Irish Residents","2001Q4","Female","Domestic","Thousand","2216"
"Number of Nights by Irish Residents","2001Q4","Female","Outbound","Thousand","3185"
"Number of Nights by Irish Residents","2002Q1","Both sexes","Domestic","Thousand","3645"
"Number of Nights by Irish Residents","2002Q1","Both sexes","Outbound","Thousand","6272"
"Number of Nights by Irish Residents","2002Q1","Male","Domestic","Thousand","1785"
"Number of Nights by Irish Residents","2002Q1","Male","Outbound","Thousand","3167"
"Number of Nights by Irish Residents","2002Q1","Female","Domestic","Thousand","1860"
"Number of Nights by Irish Residents","2002Q1","Female","Outbound","Thousand","3105"
"Number of Nights by Irish Residents","2002Q2","Both sexes","Domestic","Thousand","4621"
"Number of Nights by Irish Residents","2002Q2","Both sexes","Outbound","Thousand","11081"
"Number of Nights by Irish Residents","2002Q2","Male","Domestic","Thousand","2259"
"Number of Nights by Irish Residents","2002Q2","Male","Outbound","Thousand","5209"
"Number of Nights by Irish Residents","2002Q2","Female","Domestic","Thousand","2362"
"Number of Nights by Irish Residents","2002Q2","Female","Outbound","Thousand","5872"
"Number of Nights by Irish Residents","2002Q3","Both sexes","Domestic","Thousand","9818"
"Number of Nights by Irish Residents","2002Q3","Both sexes","Outbound","Thousand","16260"
"Number of Nights by Irish Residents","2002Q3","Male","Domestic","Thousand","4642"
"Number of Nights by Irish Residents","2002Q3","Male","Outbound","Thousand","7704"
"Number of Nights by Irish Residents","2002Q3","Female","Domestic","Thousand","5176"
"Number of Nights by Irish Residents","2002Q3","Female","Outbound","Thousand","8556"
"Number of Nights by Irish Residents","2002Q4","Both sexes","Domestic","Thousand","4138"
"Number of Nights by Irish Residents","2002Q4","Both sexes","Outbound","Thousand","7047"
"Number of Nights by Irish Residents","2002Q4","Male","Domestic","Thousand","2042"
"Number of Nights by Irish Residents","2002Q4","Male","Outbound","Thousand","3472"
"Number of Nights by Irish Residents","2002Q4","Female","Domestic","Thousand","2096"
"Number of Nights by Irish Residents","2002Q4","Female","Outbound","Thousand","3575"
"Number of Nights by Irish Residents","2003Q1","Both sexes","Domestic","Thousand","3819"
"Number of Nights by Irish Residents","2003Q1","Both sexes","Outbound","Thousand","6491"
"Number of Nights by Irish Residents","2003Q1","Male","Domestic","Thousand","1834"
"Number of Nights by Irish Residents","2003Q1","Male","Outbound","Thousand","3262"
"Number of Nights by Irish Residents","2003Q1","Female","Domestic","Thousand","1985"
"Number of Nights by Irish Residents","2003Q1","Female","Outbound","Thousand","3228"
"Number of Nights by Irish Residents","2003Q2","Both sexes","Domestic","Thousand","4589"
"Number of Nights by Irish Residents","2003Q2","Both sexes","Outbound","Thousand","12331"
"Number of Nights by Irish Residents","2003Q2","Male","Domestic","Thousand","2170"
"Number of Nights by Irish Residents","2003Q2","Male","Outbound","Thousand","5850"
"Number of Nights by Irish Residents","2003Q2","Female","Domestic","Thousand","2419"
"Number of Nights by Irish Residents","2003Q2","Female","Outbound","Thousand","6481"
"Number of Nights by Irish Residents","2003Q3","Both sexes","Domestic","Thousand","10346"
"Number of Nights by Irish Residents","2003Q3","Both sexes","Outbound","Thousand","16776"
"Number of Nights by Irish Residents","2003Q3","Male","Domestic","Thousand","4951"
"Number of Nights by Irish Residents","2003Q3","Male","Outbound","Thousand","8020"
"Number of Nights by Irish Residents","2003Q3","Female","Domestic","Thousand","5395"
"Number of Nights by Irish Residents","2003Q3","Female","Outbound","Thousand","8756"
"Number of Nights by Irish Residents","2003Q4","Both sexes","Domestic","Thousand","4861"
"Number of Nights by Irish Residents","2003Q4","Both sexes","Outbound","Thousand","8104"
"Number of Nights by Irish Residents","2003Q4","Male","Domestic","Thousand","2348"
"Number of Nights by Irish Residents","2003Q4","Male","Outbound","Thousand","3876"
"Number of Nights by Irish Residents","2003Q4","Female","Domestic","Thousand","2513"
"Number of Nights by Irish Residents","2003Q4","Female","Outbound","Thousand","4228"
"Number of Nights by Irish Residents","2004Q1","Both sexes","Domestic","Thousand","4174"
"Number of Nights by Irish Residents","2004Q1","Both sexes","Outbound","Thousand","7567"
"Number of Nights by Irish Residents","2004Q1","Male","Domestic","Thousand","2026"
"Number of Nights by Irish Residents","2004Q1","Male","Outbound","Thousand","3539"
"Number of Nights by Irish Residents","2004Q1","Female","Domestic","Thousand","2149"
"Number of Nights by Irish Residents","2004Q1","Female","Outbound","Thousand","4028"
"Number of Nights by Irish Residents","2004Q2","Both sexes","Domestic","Thousand","4689"
"Number of Nights by Irish Residents","2004Q2","Both sexes","Outbound","Thousand","12688"
"Number of Nights by Irish Residents","2004Q2","Male","Domestic","Thousand","2209"
"Number of Nights by Irish Residents","2004Q2","Male","Outbound","Thousand","5892"
"Number of Nights by Irish Residents","2004Q2","Female","Domestic","Thousand","2481"
"Number of Nights by Irish Residents","2004Q2","Female","Outbound","Thousand","6796"
"Number of Nights by Irish Residents","2004Q3","Both sexes","Domestic","Thousand","10653"
"Number of Nights by Irish Residents","2004Q3","Both sexes","Outbound","Thousand","18193"
"Number of Nights by Irish Residents","2004Q3","Male","Domestic","Thousand","4934"
"Number of Nights by Irish Residents","2004Q3","Male","Outbound","Thousand","8550"
"Number of Nights by Irish Residents","2004Q3","Female","Domestic","Thousand","5719"
"Number of Nights by Irish Residents","2004Q3","Female","Outbound","Thousand","9643"
"Number of Nights by Irish Residents","2004Q4","Both sexes","Domestic","Thousand","4673"
"Number of Nights by Irish Residents","2004Q4","Both sexes","Outbound","Thousand","7854"
"Number of Nights by Irish Residents","2004Q4","Male","Domestic","Thousand","2183"
"Number of Nights by Irish Residents","2004Q4","Male","Outbound","Thousand","3698"
"Number of Nights by Irish Residents","2004Q4","Female","Domestic","Thousand","2490"
"Number of Nights by Irish Residents","2004Q4","Female","Outbound","Thousand","4156"
"Number of Nights by Irish Residents","2005Q1","Both sexes","Domestic","Thousand","4170"
"Number of Nights by Irish Residents","2005Q1","Both sexes","Outbound","Thousand","8502"
"Number of Nights by Irish Residents","2005Q1","Male","Domestic","Thousand","1974"
"Number of Nights by Irish Residents","2005Q1","Male","Outbound","Thousand","4152"
"Number of Nights by Irish Residents","2005Q1","Female","Domestic","Thousand","2196"
"Number of Nights by Irish Residents","2005Q1","Female","Outbound","Thousand","4350"
"Number of Nights by Irish Residents","2005Q2","Both sexes","Domestic","Thousand","5195"
"Number of Nights by Irish Residents","2005Q2","Both sexes","Outbound","Thousand","14592"
"Number of Nights by Irish Residents","2005Q2","Male","Domestic","Thousand","2532"
"Number of Nights by Irish Residents","2005Q2","Male","Outbound","Thousand","6950"
"Number of Nights by Irish Residents","2005Q2","Female","Domestic","Thousand","2663"
"Number of Nights by Irish Residents","2005Q2","Female","Outbound","Thousand","7643"
"Number of Nights by Irish Residents","2005Q3","Both sexes","Domestic","Thousand","10685"
"Number of Nights by Irish Residents","2005Q3","Both sexes","Outbound","Thousand","19828"
"Number of Nights by Irish Residents","2005Q3","Male","Domestic","Thousand","5036"
"Number of Nights by Irish Residents","2005Q3","Male","Outbound","Thousand","9267"
"Number of Nights by Irish Residents","2005Q3","Female","Domestic","Thousand","5649"
"Number of Nights by Irish Residents","2005Q3","Female","Outbound","Thousand","10561"
"Number of Nights by Irish Residents","2005Q4","Both sexes","Domestic","Thousand","4557"
"Number of Nights by Irish Residents","2005Q4","Both sexes","Outbound","Thousand","8581"
"Number of Nights by Irish Residents","2005Q4","Male","Domestic","Thousand","2261"
"Number of Nights by Irish Residents","2005Q4","Male","Outbound","Thousand","4106"
"Number of Nights by Irish Residents","2005Q4","Female","Domestic","Thousand","2295"
"Number of Nights by Irish Residents","2005Q4","Female","Outbound","Thousand","4475"
"Number of Nights by Irish Residents","2006Q1","Both sexes","Domestic","Thousand","3708"
"Number of Nights by Irish Residents","2006Q1","Both sexes","Outbound","Thousand","9140"
"Number of Nights by Irish Residents","2006Q1","Male","Domestic","Thousand","1670"
"Number of Nights by Irish Residents","2006Q1","Male","Outbound","Thousand","4638"
"Number of Nights by Irish Residents","2006Q1","Female","Domestic","Thousand","2038"
"Number of Nights by Irish Residents","2006Q1","Female","Outbound","Thousand","4502"
"Number of Nights by Irish Residents","2006Q2","Both sexes","Domestic","Thousand","5357"
"Number of Nights by Irish Residents","2006Q2","Both sexes","Outbound","Thousand","14731"
"Number of Nights by Irish Residents","2006Q2","Male","Domestic","Thousand","2656"
"Number of Nights by Irish Residents","2006Q2","Male","Outbound","Thousand","7216"
"Number of Nights by Irish Residents","2006Q2","Female","Domestic","Thousand","2701"
"Number of Nights by Irish Residents","2006Q2","Female","Outbound","Thousand","7515"
"Number of Nights by Irish Residents","2006Q3","Both sexes","Domestic","Thousand","10659"
"Number of Nights by Irish Residents","2006Q3","Both sexes","Outbound","Thousand","20378"
"Number of Nights by Irish Residents","2006Q3","Male","Domestic","Thousand","5156"
"Number of Nights by Irish Residents","2006Q3","Male","Outbound","Thousand","9430"
"Number of Nights by Irish Residents","2006Q3","Female","Domestic","Thousand","5503"
"Number of Nights by Irish Residents","2006Q3","Female","Outbound","Thousand","10948"
"Number of Nights by Irish Residents","2006Q4","Both sexes","Domestic","Thousand","4479"
"Number of Nights by Irish Residents","2006Q4","Both sexes","Outbound","Thousand","10017"
"Number of Nights by Irish Residents","2006Q4","Male","Domestic","Thousand","2156"
"Number of Nights by Irish Residents","2006Q4","Male","Outbound","Thousand","4875"
"Number of Nights by Irish Residents","2006Q4","Female","Domestic","Thousand","2323"
"Number of Nights by Irish Residents","2006Q4","Female","Outbound","Thousand","5142"
"Number of Nights by Irish Residents","2007Q1","Both sexes","Domestic","Thousand","3983"
"Number of Nights by Irish Residents","2007Q1","Both sexes","Outbound","Thousand","10431"
"Number of Nights by Irish Residents","2007Q1","Male","Domestic","Thousand","1942"
"Number of Nights by Irish Residents","2007Q1","Male","Outbound","Thousand","5177"
"Number of Nights by Irish Residents","2007Q1","Female","Domestic","Thousand","2041"
"Number of Nights by Irish Residents","2007Q1","Female","Outbound","Thousand","5254"
"Number of Nights by Irish Residents","2007Q2","Both sexes","Domestic","Thousand","5909"
"Number of Nights by Irish Residents","2007Q2","Both sexes","Outbound","Thousand","16460"
"Number of Nights by Irish Residents","2007Q2","Male","Domestic","Thousand","2738"
"Number of Nights by Irish Residents","2007Q2","Male","Outbound","Thousand","7771"
"Number of Nights by Irish Residents","2007Q2","Female","Domestic","Thousand","3171"
"Number of Nights by Irish Residents","2007Q2","Female","Outbound","Thousand","8690"
"Number of Nights by Irish Residents","2007Q3","Both sexes","Domestic","Thousand","11415"
"Number of Nights by Irish Residents","2007Q3","Both sexes","Outbound","Thousand","22941"
"Number of Nights by Irish Residents","2007Q3","Male","Domestic","Thousand","5370"
"Number of Nights by Irish Residents","2007Q3","Male","Outbound","Thousand","11102"
"Number of Nights by Irish Residents","2007Q3","Female","Domestic","Thousand","6044"
"Number of Nights by Irish Residents","2007Q3","Female","Outbound","Thousand","11839"
"Number of Nights by Irish Residents","2007Q4","Both sexes","Domestic","Thousand","5021"
"Number of Nights by Irish Residents","2007Q4","Both sexes","Outbound","Thousand","12404"
"Number of Nights by Irish Residents","2007Q4","Male","Domestic","Thousand","2370"
"Number of Nights by Irish Residents","2007Q4","Male","Outbound","Thousand","6306"
"Number of Nights by Irish Residents","2007Q4","Female","Domestic","Thousand","2651"
"Number of Nights by Irish Residents","2007Q4","Female","Outbound","Thousand","6098"
"Number of Nights by Irish Residents","2008Q1","Both sexes","Domestic","Thousand","4626"
"Number of Nights by Irish Residents","2008Q1","Both sexes","Outbound","Thousand","12426"
"Number of Nights by Irish Residents","2008Q1","Male","Domestic","Thousand","2091"
"Number of Nights by Irish Residents","2008Q1","Male","Outbound","Thousand","6228"
"Number of Nights by Irish Residents","2008Q1","Female","Domestic","Thousand","2535"
"Number of Nights by Irish Residents","2008Q1","Female","Outbound","Thousand","6198"
