"Statistic Label","Quarter","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2020Q1","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","State","Thousand","810"
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Northern and Western","Thousand","255"
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Southern","Thousand","319"
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Eastern and Midland","Thousand","236"
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","State","Thousand","273"
"Number of Trips by Irish Residents","2020Q1","Other reasons","Northern and Western","Thousand","36"
"Number of Trips by Irish Residents","2020Q1","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","Southern","Thousand","94"
"Number of Trips by Irish Residents","2020Q1","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","Eastern and Midland","Thousand","143"
"Number of Trips by Irish Residents","2020Q1","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","State","Thousand","237"
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","State","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","State","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","State","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","State","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","State","Thousand","4188"
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Northern and Western","Thousand","1339"
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Southern","Thousand","2162"
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Eastern and Midland","Thousand","688"
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","State","Thousand","2926"
"Number of Trips by Irish Residents","2020Q3","Holiday","Northern and Western","Thousand","962"
"Number of Trips by Irish Residents","2020Q3","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","Southern","Thousand","1600"
"Number of Trips by Irish Residents","2020Q3","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","Eastern and Midland","Thousand","363"
"Number of Trips by Irish Residents","2020Q3","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","State","Thousand","44"
"Number of Trips by Irish Residents","2020Q3","Business","Northern and Western","Thousand","10"
"Number of Trips by Irish Residents","2020Q3","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","Southern","Thousand","14"
"Number of Trips by Irish Residents","2020Q3","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","Eastern and Midland","Thousand","21"
"Number of Trips by Irish Residents","2020Q3","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","State","Thousand","1120"
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Northern and Western","Thousand","344"
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Southern","Thousand","508"
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Eastern and Midland","Thousand","268"
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","State","Thousand","99"
"Number of Trips by Irish Residents","2020Q3","Other reasons","Northern and Western","Thousand","23"
"Number of Trips by Irish Residents","2020Q3","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","Southern","Thousand","40"
"Number of Trips by Irish Residents","2020Q3","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","Eastern and Midland","Thousand","36"
"Number of Trips by Irish Residents","2020Q3","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","State","Thousand","1136"
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Northern and Western","Thousand","295"
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Southern","Thousand","454"
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Eastern and Midland","Thousand","387"
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","State","Thousand","286"
"Number of Trips by Irish Residents","2020Q4","Holiday","Northern and Western","Thousand","68"
"Number of Trips by Irish Residents","2020Q4","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","Southern","Thousand","125"
"Number of Trips by Irish Residents","2020Q4","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","Eastern and Midland","Thousand","92"
"Number of Trips by Irish Residents","2020Q4","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","State","Thousand","40"
"Number of Trips by Irish Residents","2020Q4","Business","Northern and Western","Thousand","4"
"Number of Trips by Irish Residents","2020Q4","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","Southern","Thousand","13"
"Number of Trips by Irish Residents","2020Q4","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","Eastern and Midland","Thousand","24"
"Number of Trips by Irish Residents","2020Q4","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","State","Thousand","557"
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Northern and Western","Thousand","138"
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Southern","Thousand","241"
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Eastern and Midland","Thousand","178"
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","State","Thousand","253"
"Number of Trips by Irish Residents","2020Q4","Other reasons","Northern and Western","Thousand","84"
"Number of Trips by Irish Residents","2020Q4","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","Southern","Thousand","76"
"Number of Trips by Irish Residents","2020Q4","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","Eastern and Midland","Thousand","93"
"Number of Trips by Irish Residents","2020Q4","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","State","Thousand","278"
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Northern and Western","Thousand","72"
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Southern","Thousand","145"
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Eastern and Midland","Thousand","61"
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","State","Thousand","4"
"Number of Trips by Irish Residents","2021Q1","Holiday","Northern and Western","Thousand","4"
"Number of Trips by Irish Residents","2021Q1","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","Southern","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","State","Thousand","23"
"Number of Trips by Irish Residents","2021Q1","Business","Northern and Western","Thousand","8"
"Number of Trips by Irish Residents","2021Q1","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","Southern","Thousand","8"
"Number of Trips by Irish Residents","2021Q1","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","Eastern and Midland","Thousand","8"
"Number of Trips by Irish Residents","2021Q1","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","State","Thousand","151"
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Northern and Western","Thousand","42"
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Southern","Thousand","85"
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Eastern and Midland","Thousand","24"
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","State","Thousand","100"
"Number of Trips by Irish Residents","2021Q1","Other reasons","Northern and Western","Thousand","19"
"Number of Trips by Irish Residents","2021Q1","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","Southern","Thousand","53"
"Number of Trips by Irish Residents","2021Q1","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","Eastern and Midland","Thousand","29"
"Number of Trips by Irish Residents","2021Q1","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","State","Thousand","990"
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Northern and Western","Thousand","311"
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Southern","Thousand","395"
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Eastern and Midland","Thousand","284"
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","State","Thousand","488"
"Number of Trips by Irish Residents","2021Q2","Holiday","Northern and Western","Thousand","159"
"Number of Trips by Irish Residents","2021Q2","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","Southern","Thousand","260"
"Number of Trips by Irish Residents","2021Q2","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","Eastern and Midland","Thousand","68"
"Number of Trips by Irish Residents","2021Q2","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","State","Thousand","27"
"Number of Trips by Irish Residents","2021Q2","Business","Northern and Western","Thousand","5"
"Number of Trips by Irish Residents","2021Q2","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","Southern","Thousand","8"
"Number of Trips by Irish Residents","2021Q2","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","Eastern and Midland","Thousand","15"
"Number of Trips by Irish Residents","2021Q2","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","State","Thousand","390"
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Northern and Western","Thousand","114"
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Southern","Thousand","109"
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Eastern and Midland","Thousand","167"
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","State","Thousand","85"
"Number of Trips by Irish Residents","2021Q2","Other reasons","Northern and Western","Thousand","33"
"Number of Trips by Irish Residents","2021Q2","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","Southern","Thousand","18"
"Number of Trips by Irish Residents","2021Q2","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","Eastern and Midland","Thousand","34"
"Number of Trips by Irish Residents","2021Q2","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","State","Thousand","2808"
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Northern and Western","Thousand","745"
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Southern","Thousand","1377"
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Eastern and Midland","Thousand","687"
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","State","Thousand","1982"
"Number of Trips by Irish Residents","2021Q3","Holiday","Northern and Western","Thousand","541"
"Number of Trips by Irish Residents","2021Q3","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","Southern","Thousand","1030"
"Number of Trips by Irish Residents","2021Q3","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","Eastern and Midland","Thousand","411"
"Number of Trips by Irish Residents","2021Q3","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Business","State","Thousand","32"
"Number of Trips by Irish Residents","2021Q3","Business","Northern and Western","Thousand","8"
"Number of Trips by Irish Residents","2021Q3","Business","Border","Thousand",""
