"Statistic Label","Quarter","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","Southern and Eastern","Thousand","485"
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","State","Thousand","146"
"Number of Trips by Irish Residents","2007Q4","Other reasons","Border, Midland and Western","Thousand","37"
"Number of Trips by Irish Residents","2007Q4","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","Southern and Eastern","Thousand","109"
"Number of Trips by Irish Residents","2007Q4","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","State","Thousand","1851"
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","Border, Midland and Western","Thousand","555"
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","Southern and Eastern","Thousand","1295"
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","State","Thousand","890"
"Number of Trips by Irish Residents","2008Q1","Holiday","Border, Midland and Western","Thousand","279"
"Number of Trips by Irish Residents","2008Q1","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","Southern and Eastern","Thousand","611"
"Number of Trips by Irish Residents","2008Q1","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","State","Thousand","194"
"Number of Trips by Irish Residents","2008Q1","Business","Border, Midland and Western","Thousand","43"
"Number of Trips by Irish Residents","2008Q1","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","Southern and Eastern","Thousand","150"
"Number of Trips by Irish Residents","2008Q1","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","State","Thousand","649"
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","Border, Midland and Western","Thousand","195"
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","Southern and Eastern","Thousand","454"
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","State","Thousand","118"
"Number of Trips by Irish Residents","2008Q1","Other reasons","Border, Midland and Western","Thousand","38"
"Number of Trips by Irish Residents","2008Q1","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","Southern and Eastern","Thousand","80"
"Number of Trips by Irish Residents","2008Q1","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","State","Thousand","1867"
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","Border, Midland and Western","Thousand","566"
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","Southern and Eastern","Thousand","1301"
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","State","Thousand","1021"
"Number of Trips by Irish Residents","2008Q2","Holiday","Border, Midland and Western","Thousand","289"
"Number of Trips by Irish Residents","2008Q2","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","Southern and Eastern","Thousand","732"
"Number of Trips by Irish Residents","2008Q2","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","State","Thousand","152"
"Number of Trips by Irish Residents","2008Q2","Business","Border, Midland and Western","Thousand","51"
"Number of Trips by Irish Residents","2008Q2","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","Southern and Eastern","Thousand","101"
"Number of Trips by Irish Residents","2008Q2","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","State","Thousand","554"
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","Border, Midland and Western","Thousand","185"
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","Southern and Eastern","Thousand","369"
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","State","Thousand","140"
"Number of Trips by Irish Residents","2008Q2","Other reasons","Border, Midland and Western","Thousand","40"
"Number of Trips by Irish Residents","2008Q2","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","Southern and Eastern","Thousand","99"
"Number of Trips by Irish Residents","2008Q2","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","State","Thousand","2544"
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","Border, Midland and Western","Thousand","828"
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","Southern and Eastern","Thousand","1716"
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","State","Thousand","1579"
"Number of Trips by Irish Residents","2008Q3","Holiday","Border, Midland and Western","Thousand","505"
"Number of Trips by Irish Residents","2008Q3","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","Southern and Eastern","Thousand","1074"
"Number of Trips by Irish Residents","2008Q3","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","State","Thousand","124"
"Number of Trips by Irish Residents","2008Q3","Business","Border, Midland and Western","Thousand","33"
"Number of Trips by Irish Residents","2008Q3","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","Southern and Eastern","Thousand","92"
"Number of Trips by Irish Residents","2008Q3","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","State","Thousand","658"
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","Border, Midland and Western","Thousand","225"
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","Southern and Eastern","Thousand","433"
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","State","Thousand","183"
"Number of Trips by Irish Residents","2008Q3","Other reasons","Border, Midland and Western","Thousand","65"
"Number of Trips by Irish Residents","2008Q3","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","Southern and Eastern","Thousand","118"
"Number of Trips by Irish Residents","2008Q3","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","State","Thousand","2077"
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","Border, Midland and Western","Thousand","620"
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","Southern and Eastern","Thousand","1457"
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","State","Thousand","908"
"Number of Trips by Irish Residents","2008Q4","Holiday","Border, Midland and Western","Thousand","279"
"Number of Trips by Irish Residents","2008Q4","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","Southern and Eastern","Thousand","629"
"Number of Trips by Irish Residents","2008Q4","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","State","Thousand","187"
"Number of Trips by Irish Residents","2008Q4","Business","Border, Midland and Western","Thousand","49"
"Number of Trips by Irish Residents","2008Q4","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","Southern and Eastern","Thousand","138"
"Number of Trips by Irish Residents","2008Q4","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","State","Thousand","795"
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","Border, Midland and Western","Thousand","232"
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","Southern and Eastern","Thousand","563"
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","State","Thousand","187"
"Number of Trips by Irish Residents","2008Q4","Other reasons","Border, Midland and Western","Thousand","60"
"Number of Trips by Irish Residents","2008Q4","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","Southern and Eastern","Thousand","126"
"Number of Trips by Irish Residents","2008Q4","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q4","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","State","Thousand","1760"
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","Border, Midland and Western","Thousand","573"
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","Southern and Eastern","Thousand","1187"
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","State","Thousand","739"
"Number of Trips by Irish Residents","2009Q1","Holiday","Border, Midland and Western","Thousand","263"
"Number of Trips by Irish Residents","2009Q1","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","Southern and Eastern","Thousand","476"
"Number of Trips by Irish Residents","2009Q1","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","State","Thousand","162"
"Number of Trips by Irish Residents","2009Q1","Business","Border, Midland and Western","Thousand","38"
"Number of Trips by Irish Residents","2009Q1","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","Southern and Eastern","Thousand","124"
"Number of Trips by Irish Residents","2009Q1","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","State","Thousand","626"
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","Border, Midland and Western","Thousand","227"
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","Southern and Eastern","Thousand","399"
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","State","Thousand","233"
"Number of Trips by Irish Residents","2009Q1","Other reasons","Border, Midland and Western","Thousand","45"
"Number of Trips by Irish Residents","2009Q1","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","Southern and Eastern","Thousand","188"
"Number of Trips by Irish Residents","2009Q1","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q1","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","State","Thousand","2042"
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","Border, Midland and Western","Thousand","651"
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","Southern and Eastern","Thousand","1391"
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","State","Thousand","985"
"Number of Trips by Irish Residents","2009Q2","Holiday","Border, Midland and Western","Thousand","293"
"Number of Trips by Irish Residents","2009Q2","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","Southern and Eastern","Thousand","692"
"Number of Trips by Irish Residents","2009Q2","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","State","Thousand","145"
"Number of Trips by Irish Residents","2009Q2","Business","Border, Midland and Western","Thousand","46"
"Number of Trips by Irish Residents","2009Q2","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","Southern and Eastern","Thousand","99"
"Number of Trips by Irish Residents","2009Q2","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","State","Thousand","649"
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","Border, Midland and Western","Thousand","227"
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","Southern and Eastern","Thousand","422"
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","State","Thousand","263"
"Number of Trips by Irish Residents","2009Q2","Other reasons","Border, Midland and Western","Thousand","84"
"Number of Trips by Irish Residents","2009Q2","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","Southern and Eastern","Thousand","178"
"Number of Trips by Irish Residents","2009Q2","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2009Q2","Other reasons","South-West","Thousand",""
