"Statistic Label","Year","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Nights by Irish Residents","2000","Domestic","Business","Thousand","1672"
"Number of Nights by Irish Residents","2000","Domestic","Visiting friends/relatives","Thousand","5651"
"Number of Nights by Irish Residents","2000","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2000","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2000","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2000","Domestic","Other reasons","Thousand","1916"
"Number of Nights by Irish Residents","2000","Outbound","All reasons for journey","Thousand","35544"
"Number of Nights by Irish Residents","2000","Outbound","Holiday","Thousand","23883"
"Number of Nights by Irish Residents","2000","Outbound","Business","Thousand","3728"
"Number of Nights by Irish Residents","2000","Outbound","Visiting friends/relatives","Thousand","5123"
"Number of Nights by Irish Residents","2000","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2000","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2000","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2000","Outbound","Other reasons","Thousand","2810"
"Number of Nights by Irish Residents","2001","Domestic","All reasons for journey","Thousand","23207"
"Number of Nights by Irish Residents","2001","Domestic","Holiday","Thousand","13227"
"Number of Nights by Irish Residents","2001","Domestic","Business","Thousand","1778"
"Number of Nights by Irish Residents","2001","Domestic","Visiting friends/relatives","Thousand","5823"
"Number of Nights by Irish Residents","2001","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2001","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2001","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2001","Domestic","Other reasons","Thousand","2380"
"Number of Nights by Irish Residents","2001","Outbound","All reasons for journey","Thousand","37953"
"Number of Nights by Irish Residents","2001","Outbound","Holiday","Thousand","26786"
"Number of Nights by Irish Residents","2001","Outbound","Business","Thousand","3462"
"Number of Nights by Irish Residents","2001","Outbound","Visiting friends/relatives","Thousand","5175"
"Number of Nights by Irish Residents","2001","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2001","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2001","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2001","Outbound","Other reasons","Thousand","2530"
"Number of Nights by Irish Residents","2002","Domestic","All reasons for journey","Thousand","22222"
"Number of Nights by Irish Residents","2002","Domestic","Holiday","Thousand","12098"
"Number of Nights by Irish Residents","2002","Domestic","Business","Thousand","1633"
"Number of Nights by Irish Residents","2002","Domestic","Visiting friends/relatives","Thousand","6120"
"Number of Nights by Irish Residents","2002","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2002","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2002","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2002","Domestic","Other reasons","Thousand","2371"
"Number of Nights by Irish Residents","2002","Outbound","All reasons for journey","Thousand","40660"
"Number of Nights by Irish Residents","2002","Outbound","Holiday","Thousand","28353"
"Number of Nights by Irish Residents","2002","Outbound","Business","Thousand","3163"
"Number of Nights by Irish Residents","2002","Outbound","Visiting friends/relatives","Thousand","6415"
"Number of Nights by Irish Residents","2002","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2002","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2002","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2002","Outbound","Other reasons","Thousand","2730"
"Number of Nights by Irish Residents","2003","Domestic","All reasons for journey","Thousand","23616"
"Number of Nights by Irish Residents","2003","Domestic","Holiday","Thousand","13009"
"Number of Nights by Irish Residents","2003","Domestic","Business","Thousand","1788"
"Number of Nights by Irish Residents","2003","Domestic","Visiting friends/relatives","Thousand","6509"
"Number of Nights by Irish Residents","2003","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2003","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2003","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2003","Domestic","Other reasons","Thousand","2310"
"Number of Nights by Irish Residents","2003","Outbound","All reasons for journey","Thousand","43702"
"Number of Nights by Irish Residents","2003","Outbound","Holiday","Thousand","31115"
"Number of Nights by Irish Residents","2003","Outbound","Business","Thousand","3421"
"Number of Nights by Irish Residents","2003","Outbound","Visiting friends/relatives","Thousand","6150"
"Number of Nights by Irish Residents","2003","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","Other reasons","Thousand","3015"
"Number of Nights by Irish Residents","2004","Domestic","All reasons for journey","Thousand","24189"
"Number of Nights by Irish Residents","2004","Domestic","Holiday","Thousand","13506"
"Number of Nights by Irish Residents","2004","Domestic","Business","Thousand","1665"
"Number of Nights by Irish Residents","2004","Domestic","Visiting friends/relatives","Thousand","6478"
"Number of Nights by Irish Residents","2004","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2004","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2004","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2004","Domestic","Other reasons","Thousand","2540"
"Number of Nights by Irish Residents","2004","Outbound","All reasons for journey","Thousand","46302"
"Number of Nights by Irish Residents","2004","Outbound","Holiday","Thousand","33692"
"Number of Nights by Irish Residents","2004","Outbound","Business","Thousand","3430"
"Number of Nights by Irish Residents","2004","Outbound","Visiting friends/relatives","Thousand","6906"
"Number of Nights by Irish Residents","2004","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2004","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2004","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2004","Outbound","Other reasons","Thousand","2274"
"Number of Nights by Irish Residents","2005","Domestic","All reasons for journey","Thousand","24607"
"Number of Nights by Irish Residents","2005","Domestic","Holiday","Thousand","13676"
"Number of Nights by Irish Residents","2005","Domestic","Business","Thousand","1973"
"Number of Nights by Irish Residents","2005","Domestic","Visiting friends/relatives","Thousand","6535"
"Number of Nights by Irish Residents","2005","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2005","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2005","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2005","Domestic","Other reasons","Thousand","2422"
"Number of Nights by Irish Residents","2005","Outbound","All reasons for journey","Thousand","51503"
"Number of Nights by Irish Residents","2005","Outbound","Holiday","Thousand","36714"
"Number of Nights by Irish Residents","2005","Outbound","Business","Thousand","3870"
"Number of Nights by Irish Residents","2005","Outbound","Visiting friends/relatives","Thousand","7706"
"Number of Nights by Irish Residents","2005","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2005","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2005","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2005","Outbound","Other reasons","Thousand","3211"
"Number of Nights by Irish Residents","2006","Domestic","All reasons for journey","Thousand","24203"
"Number of Nights by Irish Residents","2006","Domestic","Holiday","Thousand","14374"
"Number of Nights by Irish Residents","2006","Domestic","Business","Thousand","2080"
"Number of Nights by Irish Residents","2006","Domestic","Visiting friends/relatives","Thousand","6168"
"Number of Nights by Irish Residents","2006","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2006","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2006","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2006","Domestic","Other reasons","Thousand","1581"
"Number of Nights by Irish Residents","2006","Outbound","All reasons for journey","Thousand","54266"
"Number of Nights by Irish Residents","2006","Outbound","Holiday","Thousand","38884"
"Number of Nights by Irish Residents","2006","Outbound","Business","Thousand","4282"
"Number of Nights by Irish Residents","2006","Outbound","Visiting friends/relatives","Thousand","9063"
"Number of Nights by Irish Residents","2006","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2006","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2006","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2006","Outbound","Other reasons","Thousand","2037"
"Number of Nights by Irish Residents","2007","Domestic","All reasons for journey","Thousand","26328"
"Number of Nights by Irish Residents","2007","Domestic","Holiday","Thousand","16359"
"Number of Nights by Irish Residents","2007","Domestic","Business","Thousand","1771"
"Number of Nights by Irish Residents","2007","Domestic","Visiting friends/relatives","Thousand","6587"
"Number of Nights by Irish Residents","2007","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Other reasons","Thousand","1611"
"Number of Nights by Irish Residents","2007","Outbound","All reasons for journey","Thousand","62236"
"Number of Nights by Irish Residents","2007","Outbound","Holiday","Thousand","47019"
"Number of Nights by Irish Residents","2007","Outbound","Business","Thousand","3669"
"Number of Nights by Irish Residents","2007","Outbound","Visiting friends/relatives","Thousand","9304"
"Number of Nights by Irish Residents","2007","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Other reasons","Thousand","2244"
"Number of Nights by Irish Residents","2008","Domestic","All reasons for journey","Thousand","26195"
"Number of Nights by Irish Residents","2008","Domestic","Holiday","Thousand","15654"
"Number of Nights by Irish Residents","2008","Domestic","Business","Thousand","1573"
"Number of Nights by Irish Residents","2008","Domestic","Visiting friends/relatives","Thousand","6969"
"Number of Nights by Irish Residents","2008","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Other reasons","Thousand","2000"
"Number of Nights by Irish Residents","2008","Outbound","All reasons for journey","Thousand","63498"
"Number of Nights by Irish Residents","2008","Outbound","Holiday","Thousand","46229"
"Number of Nights by Irish Residents","2008","Outbound","Business","Thousand","4133"
"Number of Nights by Irish Residents","2008","Outbound","Visiting friends/relatives","Thousand","10400"
"Number of Nights by Irish Residents","2008","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Other reasons","Thousand","2736"
"Number of Nights by Irish Residents","2009","Domestic","All reasons for journey","Thousand","26027"
"Number of Nights by Irish Residents","2009","Domestic","Holiday","Thousand","14320"
"Number of Nights by Irish Residents","2009","Domestic","Business","Thousand","1437"
"Number of Nights by Irish Residents","2009","Domestic","Visiting friends/relatives","Thousand","6868"
"Number of Nights by Irish Residents","2009","Domestic","Education and training","Thousand","1175"
"Number of Nights by Irish Residents","2009","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","Sporting events","Thousand","561"
"Number of Nights by Irish Residents","2009","Domestic","Other reasons","Thousand","1664"
"Number of Nights by Irish Residents","2009","Outbound","All reasons for journey","Thousand","55667"
"Number of Nights by Irish Residents","2009","Outbound","Holiday","Thousand","37869"
"Number of Nights by Irish Residents","2009","Outbound","Business","Thousand","2961"
"Number of Nights by Irish Residents","2009","Outbound","Visiting friends/relatives","Thousand","10358"
"Number of Nights by Irish Residents","2009","Outbound","Education and training","Thousand","1360"
"Number of Nights by Irish Residents","2009","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","Sporting events","Thousand","884"
"Number of Nights by Irish Residents","2009","Outbound","Other reasons","Thousand","2234"
"Number of Nights by Irish Residents","2010","Domestic","All reasons for journey","Thousand","22540"
"Number of Nights by Irish Residents","2010","Domestic","Holiday","Thousand","13981"
"Number of Nights by Irish Residents","2010","Domestic","Business","Thousand","672"
"Number of Nights by Irish Residents","2010","Domestic","Visiting friends/relatives","Thousand","5346"
"Number of Nights by Irish Residents","2010","Domestic","Education and training","Thousand","672"
"Number of Nights by Irish Residents","2010","Domestic","Work/looking for work","Thousand","275"
"Number of Nights by Irish Residents","2010","Domestic","Sporting events","Thousand","478"
"Number of Nights by Irish Residents","2010","Domestic","Other reasons","Thousand","1115"
"Number of Nights by Irish Residents","2010","Outbound","All reasons for journey","Thousand","57473"
"Number of Nights by Irish Residents","2010","Outbound","Holiday","Thousand","37657"
"Number of Nights by Irish Residents","2010","Outbound","Business","Thousand","2495"
"Number of Nights by Irish Residents","2010","Outbound","Visiting friends/relatives","Thousand","12415"
"Number of Nights by Irish Residents","2010","Outbound","Education and training","Thousand","1160"
"Number of Nights by Irish Residents","2010","Outbound","Work/looking for work","Thousand","1060"
"Number of Nights by Irish Residents","2010","Outbound","Sporting events","Thousand","955"
"Number of Nights by Irish Residents","2010","Outbound","Other reasons","Thousand","1732"
"Number of Nights by Irish Residents","2011","Domestic","All reasons for journey","Thousand","21628"
"Number of Nights by Irish Residents","2011","Domestic","Holiday","Thousand","12972"
"Number of Nights by Irish Residents","2011","Domestic","Business","Thousand","586"
"Number of Nights by Irish Residents","2011","Domestic","Visiting friends/relatives","Thousand","5817"
"Number of Nights by Irish Residents","2011","Domestic","Education and training","Thousand","395"
"Number of Nights by Irish Residents","2011","Domestic","Work/looking for work","Thousand","307"
"Number of Nights by Irish Residents","2011","Domestic","Sporting events","Thousand","524"
"Number of Nights by Irish Residents","2011","Domestic","Other reasons","Thousand","1028"
"Number of Nights by Irish Residents","2011","Outbound","All reasons for journey","Thousand","54014"
"Number of Nights by Irish Residents","2011","Outbound","Holiday","Thousand","32183"
"Number of Nights by Irish Residents","2011","Outbound","Business","Thousand","2714"
"Number of Nights by Irish Residents","2011","Outbound","Visiting friends/relatives","Thousand","13462"
"Number of Nights by Irish Residents","2011","Outbound","Education and training","Thousand","1129"
"Number of Nights by Irish Residents","2011","Outbound","Work/looking for work","Thousand","1069"
"Number of Nights by Irish Residents","2011","Outbound","Sporting events","Thousand","969"
"Number of Nights by Irish Residents","2011","Outbound","Other reasons","Thousand","2488"
"Number of Nights by Irish Residents","2012","Domestic","All reasons for journey","Thousand","23703"
"Number of Nights by Irish Residents","2012","Domestic","Holiday","Thousand","12771"
"Number of Nights by Irish Residents","2012","Domestic","Business","Thousand","693"
"Number of Nights by Irish Residents","2012","Domestic","Visiting friends/relatives","Thousand","7033"
"Number of Nights by Irish Residents","2012","Domestic","Education and training","Thousand","1046"
"Number of Nights by Irish Residents","2012","Domestic","Work/looking for work","Thousand","442"
"Number of Nights by Irish Residents","2012","Domestic","Sporting events","Thousand","567"
"Number of Nights by Irish Residents","2012","Domestic","Other reasons","Thousand","1149"
"Number of Nights by Irish Residents","2012","Outbound","All reasons for journey","Thousand","53112"
"Number of Nights by Irish Residents","2012","Outbound","Holiday","Thousand","34462"
"Number of Nights by Irish Residents","2012","Outbound","Business","Thousand","2199"
"Number of Nights by Irish Residents","2012","Outbound","Visiting friends/relatives","Thousand","10502"
"Number of Nights by Irish Residents","2012","Outbound","Education and training","Thousand","1136"
"Number of Nights by Irish Residents","2012","Outbound","Work/looking for work","Thousand","2078"
"Number of Nights by Irish Residents","2012","Outbound","Sporting events","Thousand","1081"
"Number of Nights by Irish Residents","2012","Outbound","Other reasons","Thousand","1655"
"Number of Nights by Irish Residents","2013","Domestic","All reasons for journey","Thousand","24195"
"Number of Nights by Irish Residents","2013","Domestic","Holiday","Thousand","13986"
"Number of Nights by Irish Residents","2013","Domestic","Business","Thousand","616"
"Number of Nights by Irish Residents","2013","Domestic","Visiting friends/relatives","Thousand","7095"
"Number of Nights by Irish Residents","2013","Domestic","Education and training","Thousand","721"
"Number of Nights by Irish Residents","2013","Domestic","Work/looking for work","Thousand","266"
"Number of Nights by Irish Residents","2013","Domestic","Sporting events","Thousand","495"
"Number of Nights by Irish Residents","2013","Domestic","Other reasons","Thousand","1016"
"Number of Nights by Irish Residents","2013","Outbound","All reasons for journey","Thousand","51985"
"Number of Nights by Irish Residents","2013","Outbound","Holiday","Thousand","31726"
"Number of Nights by Irish Residents","2013","Outbound","Business","Thousand","2394"
"Number of Nights by Irish Residents","2013","Outbound","Visiting friends/relatives","Thousand","12141"
"Number of Nights by Irish Residents","2013","Outbound","Education and training","Thousand","1001"
"Number of Nights by Irish Residents","2013","Outbound","Work/looking for work","Thousand","2436"
"Number of Nights by Irish Residents","2013","Outbound","Sporting events","Thousand","932"
"Number of Nights by Irish Residents","2013","Outbound","Other reasons","Thousand","1356"
"Number of Nights by Irish Residents","2014","Domestic","All reasons for journey","Thousand","26086"
"Number of Nights by Irish Residents","2014","Domestic","Holiday","Thousand","14424"
"Number of Nights by Irish Residents","2014","Domestic","Business","Thousand","904"
"Number of Nights by Irish Residents","2014","Domestic","Visiting friends/relatives","Thousand","7335"
"Number of Nights by Irish Residents","2014","Domestic","Education and training","Thousand","745"
"Number of Nights by Irish Residents","2014","Domestic","Work/looking for work","Thousand","368"
"Number of Nights by Irish Residents","2014","Domestic","Sporting events","Thousand","755"
"Number of Nights by Irish Residents","2014","Domestic","Other reasons","Thousand","1556"
"Number of Nights by Irish Residents","2014","Outbound","All reasons for journey","Thousand","53652"
"Number of Nights by Irish Residents","2014","Outbound","Holiday","Thousand","33095"
"Number of Nights by Irish Residents","2014","Outbound","Business","Thousand","2980"
"Number of Nights by Irish Residents","2014","Outbound","Visiting friends/relatives","Thousand","12763"
"Number of Nights by Irish Residents","2014","Outbound","Education and training","Thousand","1024"
"Number of Nights by Irish Residents","2014","Outbound","Work/looking for work","Thousand","1722"
"Number of Nights by Irish Residents","2014","Outbound","Sporting events","Thousand","772"
"Number of Nights by Irish Residents","2014","Outbound","Other reasons","Thousand","1296"
"Number of Nights by Irish Residents","2015","Domestic","All reasons for journey","Thousand","25267"
"Number of Nights by Irish Residents","2015","Domestic","Holiday","Thousand","14751"
"Number of Nights by Irish Residents","2015","Domestic","Business","Thousand","672"
"Number of Nights by Irish Residents","2015","Domestic","Visiting friends/relatives","Thousand","6877"
"Number of Nights by Irish Residents","2015","Domestic","Education and training","Thousand","952"
"Number of Nights by Irish Residents","2015","Domestic","Work/looking for work","Thousand","259"
"Number of Nights by Irish Residents","2015","Domestic","Sporting events","Thousand","630"
"Number of Nights by Irish Residents","2015","Domestic","Other reasons","Thousand","1126"
"Number of Nights by Irish Residents","2015","Outbound","All reasons for journey","Thousand","53515"
"Number of Nights by Irish Residents","2015","Outbound","Holiday","Thousand","35276"
"Number of Nights by Irish Residents","2015","Outbound","Business","Thousand","2905"
"Number of Nights by Irish Residents","2015","Outbound","Visiting friends/relatives","Thousand","10298"
"Number of Nights by Irish Residents","2015","Outbound","Education and training","Thousand","931"
"Number of Nights by Irish Residents","2015","Outbound","Work/looking for work","Thousand","1651"
"Number of Nights by Irish Residents","2015","Outbound","Sporting events","Thousand","920"
"Number of Nights by Irish Residents","2015","Outbound","Other reasons","Thousand","1535"
"Number of Nights by Irish Residents","2016","Domestic","All reasons for journey","Thousand","25589"
"Number of Nights by Irish Residents","2016","Domestic","Holiday","Thousand","15077"
"Number of Nights by Irish Residents","2016","Domestic","Business","Thousand","764"
"Number of Nights by Irish Residents","2016","Domestic","Visiting friends/relatives","Thousand","7238"
"Number of Nights by Irish Residents","2016","Domestic","Education and training","Thousand","772"
"Number of Nights by Irish Residents","2016","Domestic","Work/looking for work","Thousand","220"
"Number of Nights by Irish Residents","2016","Domestic","Sporting events","Thousand","574"
"Number of Nights by Irish Residents","2016","Domestic","Other reasons","Thousand","944"
"Number of Nights by Irish Residents","2016","Outbound","All reasons for journey","Thousand","56748"
"Number of Nights by Irish Residents","2016","Outbound","Holiday","Thousand","34957"
"Number of Nights by Irish Residents","2016","Outbound","Business","Thousand","4065"
"Number of Nights by Irish Residents","2016","Outbound","Visiting friends/relatives","Thousand","11841"
"Number of Nights by Irish Residents","2016","Outbound","Education and training","Thousand","1179"
"Number of Nights by Irish Residents","2016","Outbound","Work/looking for work","Thousand","1702"
"Number of Nights by Irish Residents","2016","Outbound","Sporting events","Thousand","1163"
"Number of Nights by Irish Residents","2016","Outbound","Other reasons","Thousand","1842"
"Number of Nights by Irish Residents","2017","Domestic","All reasons for journey","Thousand","25539"
"Number of Nights by Irish Residents","2017","Domestic","Holiday","Thousand","13844"
"Number of Nights by Irish Residents","2017","Domestic","Business","Thousand","745"
"Number of Nights by Irish Residents","2017","Domestic","Visiting friends/relatives","Thousand","7689"
"Number of Nights by Irish Residents","2017","Domestic","Education and training","Thousand","1218"
"Number of Nights by Irish Residents","2017","Domestic","Work/looking for work","Thousand","288"
"Number of Nights by Irish Residents","2017","Domestic","Sporting events","Thousand","669"
"Number of Nights by Irish Residents","2017","Domestic","Other reasons","Thousand","1086"
"Number of Nights by Irish Residents","2017","Outbound","All reasons for journey","Thousand","57698"
"Number of Nights by Irish Residents","2017","Outbound","Holiday","Thousand","36691"
"Number of Nights by Irish Residents","2017","Outbound","Business","Thousand","2705"
"Number of Nights by Irish Residents","2017","Outbound","Visiting friends/relatives","Thousand","11708"
"Number of Nights by Irish Residents","2017","Outbound","Education and training","Thousand","1810"
"Number of Nights by Irish Residents","2017","Outbound","Work/looking for work","Thousand","2165"
"Number of Nights by Irish Residents","2017","Outbound","Sporting events","Thousand","1053"
"Number of Nights by Irish Residents","2017","Outbound","Other reasons","Thousand","1565"
"Number of Nights by Irish Residents","2018","Domestic","All reasons for journey","Thousand","28393"
"Number of Nights by Irish Residents","2018","Domestic","Holiday","Thousand","15058"
"Number of Nights by Irish Residents","2018","Domestic","Business","Thousand","779"
"Number of Nights by Irish Residents","2018","Domestic","Visiting friends/relatives","Thousand","9000"
"Number of Nights by Irish Residents","2018","Domestic","Education and training","Thousand","884"
"Number of Nights by Irish Residents","2018","Domestic","Work/looking for work","Thousand","449"
"Number of Nights by Irish Residents","2018","Domestic","Sporting events","Thousand","678"
"Number of Nights by Irish Residents","2018","Domestic","Other reasons","Thousand","1545"
"Number of Nights by Irish Residents","2018","Outbound","All reasons for journey","Thousand","60623"
"Number of Nights by Irish Residents","2018","Outbound","Holiday","Thousand","40067"
"Number of Nights by Irish Residents","2018","Outbound","Business","Thousand","3129"
"Number of Nights by Irish Residents","2018","Outbound","Visiting friends/relatives","Thousand","12954"
"Number of Nights by Irish Residents","2018","Outbound","Education and training","Thousand","1172"
"Number of Nights by Irish Residents","2018","Outbound","Work/looking for work","Thousand","902"
"Number of Nights by Irish Residents","2018","Outbound","Sporting events","Thousand","1232"
"Number of Nights by Irish Residents","2018","Outbound","Other reasons","Thousand","1167"
"Number of Nights by Irish Residents","2019","Domestic","All reasons for journey","Thousand","29469"
"Number of Nights by Irish Residents","2019","Domestic","Holiday","Thousand","16003"
"Number of Nights by Irish Residents","2019","Domestic","Business","Thousand","879"
"Number of Nights by Irish Residents","2019","Domestic","Visiting friends/relatives","Thousand","8836"
"Number of Nights by Irish Residents","2019","Domestic","Education and training","Thousand","985"
"Number of Nights by Irish Residents","2019","Domestic","Work/looking for work","Thousand","605"
"Number of Nights by Irish Residents","2019","Domestic","Sporting events","Thousand","739"
"Number of Nights by Irish Residents","2019","Domestic","Other reasons","Thousand","1423"
"Number of Nights by Irish Residents","2019","Outbound","All reasons for journey","Thousand","66927"
"Number of Nights by Irish Residents","2019","Outbound","Holiday","Thousand","43783"
"Number of Nights by Irish Residents","2019","Outbound","Business","Thousand","3344"
"Number of Nights by Irish Residents","2019","Outbound","Visiting friends/relatives","Thousand","12601"
"Number of Nights by Irish Residents","2019","Outbound","Education and training","Thousand","2005"
"Number of Nights by Irish Residents","2019","Outbound","Work/looking for work","Thousand","1639"
"Number of Nights by Irish Residents","2019","Outbound","Sporting events","Thousand","1747"
"Number of Nights by Irish Residents","2019","Outbound","Other reasons","Thousand","1807"
"Number of Nights by Irish Residents","2020","Domestic","All reasons for journey","Thousand","23518"
"Number of Nights by Irish Residents","2020","Domestic","Holiday","Thousand","13351"
"Number of Nights by Irish Residents","2020","Domestic","Business","Thousand","595"
"Number of Nights by Irish Residents","2020","Domestic","Visiting friends/relatives","Thousand","7449"
"Number of Nights by Irish Residents","2020","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2020","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2020","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2020","Domestic","Other reasons","Thousand","2124"
"Number of Nights by Irish Residents","2020","Outbound","All reasons for journey","Thousand","15597"
"Number of Nights by Irish Residents","2020","Outbound","Holiday","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Business","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Visiting friends/relatives","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Other reasons","Thousand",""
"Number of Nights by Irish Residents","2021","Domestic","All reasons for journey","Thousand","17886"
"Number of Nights by Irish Residents","2021","Domestic","Holiday","Thousand","10835"
"Number of Nights by Irish Residents","2021","Domestic","Business","Thousand","368"
"Number of Nights by Irish Residents","2021","Domestic","Visiting friends/relatives","Thousand","5231"
"Number of Nights by Irish Residents","2021","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2021","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2021","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2021","Domestic","Other reasons","Thousand","1453"
"Number of Nights by Irish Residents","2021","Outbound","All reasons for journey","Thousand","17443"
"Number of Nights by Irish Residents","2021","Outbound","Holiday","Thousand","7156"
"Number of Nights by Irish Residents","2021","Outbound","Business","Thousand","1151"
"Number of Nights by Irish Residents","2021","Outbound","Visiting friends/relatives","Thousand","5187"
"Number of Nights by Irish Residents","2021","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2021","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2021","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2021","Outbound","Other reasons","Thousand","3949"
"Number of Nights by Irish Residents","2022","Domestic","All reasons for journey","Thousand","34236"
"Number of Nights by Irish Residents","2022","Domestic","Holiday","Thousand","18607"
"Number of Nights by Irish Residents","2022","Domestic","Business","Thousand","1150"
"Number of Nights by Irish Residents","2022","Domestic","Visiting friends/relatives","Thousand","10407"
"Number of Nights by Irish Residents","2022","Domestic","Education and training","Thousand",""
"Number of Nights by Irish Residents","2022","Domestic","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2022","Domestic","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2022","Domestic","Other reasons","Thousand","4073"
"Number of Nights by Irish Residents","2022","Outbound","All reasons for journey","Thousand","61205"
"Number of Nights by Irish Residents","2022","Outbound","Holiday","Thousand","40147"
"Number of Nights by Irish Residents","2022","Outbound","Business","Thousand","2125"
"Number of Nights by Irish Residents","2022","Outbound","Visiting friends/relatives","Thousand","13799"
"Number of Nights by Irish Residents","2022","Outbound","Education and training","Thousand",""
"Number of Nights by Irish Residents","2022","Outbound","Work/looking for work","Thousand",""
"Number of Nights by Irish Residents","2022","Outbound","Sporting events","Thousand",""
"Number of Nights by Irish Residents","2022","Outbound","Other reasons","Thousand","5134"
"Average Length of Stay by Irish Residents","2000","Domestic","All reasons for journey","Nights per Trip","3.8"
